,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
1462,"Hake, Oven-Baked",1,400.0,338.4321223709369,0.0,0.0,0.0,313.6,21.599999999999998,1606.8,630.8,Hake,,0.0
565,"Bun, Berry And Quark Filling, Rainbow",1,290.0,975.908221797323,79.46,5.22,704.12,87.0,187.92,1554.69,610.16,Bun,,0.0
1513,"Hamburger With Sausage, With All Seasonings, Grill",1,190.0,432.76768642447416,5.699999999999999,1.9,148.96,50.92,241.10999999999999,2817.7,1105.8,Hamburger With Sausage,hamburger,0.0
1127,Double Hamburger,1,80.0,219.69407265774382,0.48,0.5599999999999999,42.24,48.0,133.92000000000002,839.5200000000001,329.52,Double Hamburger,hamburger,0.0
3270,Salmon Burger,1,80.0,212.810707456979,0.7200000000000001,1.04,46.080000000000005,32.96,137.52,687.52,269.84000000000003,Salmon Burger,salmon,0.0
290,"Beetroot, Pickled",1,70.0,24.9282982791587,4.6899999999999995,1.26,18.759999999999998,2.8,1.26,214.06,84.0,Beetroot,,0.0
2728,"Porridge Flake Mix With Fibre, Nalle",1,50.0,178.05927342256214,0.95,13.5,86.4,27.6,41.4,8.7,3.4,Porridge Flake Mix With Fibre,porridge,0.0
969,"Cod, Boiled Without Salt",1,50.0,43.61854684512428,0.0,0.0,0.0,39.2,4.05,83.95,32.95,Cod,,0.0
517,"Breakfast Cereal, Rice Krispies",1,30.0,114.7944550669216,2.9099999999999997,0.27,102.71999999999998,8.16,3.2399999999999998,447.81,175.73999999999998,Breakfast Cereal,rice,0.0
3903,"Vegetable Hamburger, Wheat Bun",1,30.0,64.45984703632887,1.02,0.54,23.16,5.3999999999999995,36.72,267.78,105.09,Vegetable Hamburger,hamburger,0.0
1625,"Juice Drink, Gefilus, Probiotics, Average Of Industrial Products",1,10.0,5.066921606118547,1.16,0.0,4.64,0.2,0.26999999999999996,1.03,0.41,Juice Drink,,0.0
