,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
1488,"Hamburger, Beef And Wheat Roll",1,420.0,782.9827915869981,13.020000000000001,5.88,374.64000000000004,188.16,241.92000000000002,4480.14,1758.1200000000001,Hamburger,beef,0.0
1625,"Juice Drink, Gefilus, Probiotics, Average Of Industrial Products",1,390.0,197.60994263862332,45.239999999999995,0.0,180.95999999999998,7.8,10.53,40.17,15.989999999999998,Juice Drink,,0.0
566,"Bun, Chocolate And Vanilla Filling, Tiikerikranssi, Vaasan Isoäidin",1,130.0,450.52581261950286,25.61,2.4699999999999998,285.48,38.480000000000004,131.04,819.65,321.62,Bun,,2.9899999999999998
3545,"Soy Protein Concentrate, 58% Protein",1,120.0,426.1950286806883,24.0,6.6,123.35999999999999,278.88,5.3999999999999995,9.12,3.5999999999999996,Soy Protein Concentrate,protein,0.0
2572,Perch,1,50.0,41.22848948374761,0.0,0.0,0.0,37.6,3.15,58.1,22.8,Perch,,0.0
3520,"Soya Drink, Plain, Calcium, Vitamins, Alpro",1,40.0,13.479923518164435,0.2,0.52,1.4400000000000002,4.800000000000001,6.48,9.24,3.64,Soya Drink,,0.0
3526,"Soya Mince, White Or Dark, Boiled Without Salt",1,40.0,50.95602294455067,1.2000000000000002,2.2800000000000002,12.8,30.080000000000002,3.24,1.9600000000000002,0.76,Soya Mince,,0.0
2652,"Porcini, Boiled",1,20.0,9.27342256214149,0.5,0.9199999999999999,2.9600000000000004,3.84,0.7200000000000001,3.9200000000000004,1.54,Porcini,,0.0
1806,"Macaroni, Pasta, Contains Egg, Boiled, Without Salt",1,20.0,17.925430210325047,0.06,0.58,11.840000000000002,2.9600000000000004,1.9800000000000002,4.0,1.56,Macaroni,pasta,0.0
1017,"Cream, Low-Fat, 25% Fat",1,20.0,50.525812619502865,0.6000000000000001,0.0,2.4000000000000004,1.04,48.6,17.84,7.0,Cream,,0.6000000000000001
