,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
1504,"Hamburger, Pork And Beef And Wheat Roll",1,440.0,950.6692160611856,13.640000000000002,6.16,392.48,167.20000000000002,415.8,4588.320000000001,1800.9200000000003,Hamburger,pork,0.0
1756,Lingonberry Jam,1,310.0,426.027724665392,102.92000000000002,3.1,415.40000000000003,2.4800000000000004,8.37,8.99,3.4100000000000006,Lingonberry Jam,,0.0
2582,Pike,1,290.0,234.9665391969407,0.0,0.0,0.0,220.4,10.44,172.84,67.86,Pike,,0.0
465,Bolete,1,60.0,16.634799235181642,1.02,1.9799999999999998,4.8,5.04,3.2399999999999998,2.16,0.84,Bolete,,0.0
3545,"Soy Protein Concentrate, 58% Protein",1,50.0,177.5812619502868,10.0,2.75,51.4,116.2,2.25,3.8,1.5,Soy Protein Concentrate,protein,0.0
1351,"Fresh Pasta, Contains Egg",1,30.0,81.66826003824092,0.27,0.78,64.8,10.92,6.21,389.48999999999995,152.88,Fresh Pasta,pasta,0.0
3838,Turkey Breast,1,30.0,36.5678776290631,0.0,0.0,0.0,30.72,5.3999999999999995,25.979999999999997,10.2,Turkey Breast,,0.0
511,"Breakfast Cereal, Honey Wheat Loops, Top Food",1,20.0,78.44168260038242,3.9600000000000004,1.22,62.400000000000006,7.2,6.84,30.64,12.020000000000001,Breakfast Cereal,,0.0
173,"Basil, Fresh",1,20.0,5.162523900573614,0.06,0.32000000000000006,0.8800000000000001,2.4800000000000004,1.26,4.58,1.8,Basil,,0.0
534,"Breakfast Cereal, Wheat Bran Cereal, Kellogg'S All-Bran Plus",1,10.0,32.767686424474185,1.83,2.7,19.28,5.68,3.06,118.46,46.49,Breakfast Cereal,,0.0
3836,"Turkey, Boiled, Unsalted",1,10.0,14.173040152963672,0.0,0.0,0.0,11.920000000000002,2.07,10.07,3.95,Turkey,,0.0
