,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
3745,"Thin Pancake, Atria",1,370.0,788.8145315487571,15.91,5.18,549.08,93.24,156.51000000000002,3056.2000000000003,1199.54,Thin Pancake,cake,0.0
1493,"Hamburger, Cheese Burger, Mcdonald'S",1,310.0,766.8499043977056,10.85,5.58,280.24,178.56,323.64,4109.36,1612.6200000000001,Hamburger,cheese,0.6200000000000001
970,"Cod, Oven-Baked",1,260.0,232.40917782026767,0.0,0.0,0.0,209.04000000000002,21.06,3427.84,1345.24,Cod,,0.0
1495,"Hamburger, Chicken Burger, Mcdonald'S",1,40.0,108.03059273422562,0.4,0.6000000000000001,47.04,17.76,45.36,350.96000000000004,137.76,Hamburger,chicken,0.0
968,Cod,1,40.0,30.68833652007648,0.0,0.0,0.0,27.52,2.8800000000000003,59.120000000000005,23.200000000000003,Cod,,0.0
534,"Breakfast Cereal, Wheat Bran Cereal, Kellogg'S All-Bran Plus",1,30.0,98.30305927342256,5.49,8.1,57.84,17.04,9.18,355.37999999999994,139.47,Breakfast Cereal,,0.0
178,"Bean, Black Bean, Turtle Bean, In Brine, Canned",1,30.0,23.80497131931166,0.06,2.07,11.639999999999999,7.199999999999999,0.8099999999999999,293.52,115.19999999999999,Bean,,0.0
1004,"Cottage Cheese, Fat-Free, Low-Lactose",1,20.0,16.58699808795411,0.4,0.0,1.6,14.4,0.36000000000000004,152.88,60.0,Cottage Cheese,cheese,0.1
1756,Lingonberry Jam,1,20.0,27.48565965583174,6.640000000000001,0.2,26.8,0.16000000000000003,0.5399999999999999,0.58,0.22000000000000003,Lingonberry Jam,,0.0
3000,"Rice And Rye Mix, Boiled Without Salt",1,20.0,27.820267686424472,0.020000000000000004,0.45999999999999996,23.52,2.72,1.0799999999999998,1.1199999999999999,0.44000000000000006,Rice And Rye Mix,rice,0.0
1013,"Crashed Rye Grain E And Rice Mix, Boiled, Salt",1,20.0,27.820267686424472,0.020000000000000004,0.45999999999999996,23.52,2.72,1.0799999999999998,198.34000000000003,77.84,Crashed Rye Grain E And Rice Mix,rice,0.0
290,"Beetroot, Pickled",1,10.0,3.561185468451243,0.67,0.18000000000000002,2.68,0.4,0.18000000000000002,30.580000000000002,12.0,Beetroot,,0.0
